areaName,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,newCasesByPublishDate,newAdmissions
United Kingdom,2021-02-02,846.0,111701.0,16840,2460.0
United Kingdom,2021-02-01,887.0,110855.0,18607,2590.0
United Kingdom,2021-01-31,889.0,109968.0,21088,2379.0
United Kingdom,2021-01-30,912.0,109079.0,23275,2447.0
United Kingdom,2021-01-29,1063.0,108167.0,29079,2664.0
United Kingdom,2021-01-28,1106.0,107104.0,28680,3033.0
United Kingdom,2021-01-27,1107.0,105998.0,25308,3046.0
United Kingdom,2021-01-26,1057.0,104891.0,20089,3131.0
United Kingdom,2021-01-25,1164.0,103834.0,22195,2922.0
United Kingdom,2021-01-24,1153.0,102670.0,30004,3106.0
United Kingdom,2021-01-23,1159.0,101517.0,33552,3101.0
United Kingdom,2021-01-22,1239.0,100358.0,40261,3387.0
United Kingdom,2021-01-21,1231.0,99119.0,37892,3622.0
United Kingdom,2021-01-20,1294.0,97888.0,38905,4042.0
United Kingdom,2021-01-19,1359.0,96594.0,33355,4156.0
United Kingdom,2021-01-18,1296.0,95235.0,37535,4057.0
United Kingdom,2021-01-17,1264.0,93939.0,38598,3745.0
United Kingdom,2021-01-16,1300.0,92675.0,41346,3943.0
United Kingdom,2021-01-15,1223.0,91375.0,55761,3672.0
United Kingdom,2021-01-14,1220.0,90152.0,48682,4087.0
United Kingdom,2021-01-13,1212.0,88932.0,47525,4222.0
United Kingdom,2021-01-12,1204.0,87720.0,45533,4576.0
United Kingdom,2021-01-11,1133.0,86516.0,46169,4307.0
United Kingdom,2021-01-10,1091.0,85383.0,54940,3927.0
United Kingdom,2021-01-09,1017.0,84292.0,59937,4123.0
United Kingdom,2021-01-08,980.0,83275.0,68053,3991.0
United Kingdom,2021-01-07,991.0,82295.0,52618,4288.0
United Kingdom,2021-01-06,931.0,81304.0,62322,4391.0
United Kingdom,2021-01-05,905.0,80373.0,60916,4114.0
United Kingdom,2021-01-04,843.0,79468.0,58784,3933.0
United Kingdom,2021-01-03,756.0,78625.0,54990,3648.0
United Kingdom,2021-01-02,756.0,77869.0,57725,3437.0
United Kingdom,2021-01-01,745.0,77113.0,53285,3370.0
United Kingdom,2020-12-31,750.0,76368.0,55892,2917.0
United Kingdom,2020-12-30,718.0,75618.0,50023,3280.0
United Kingdom,2020-12-29,662.0,74900.0,53135,3247.0
United Kingdom,2020-12-28,676.0,74238.0,41385,3126.0
United Kingdom,2020-12-27,646.0,73562.0,30501,2871.0
United Kingdom,2020-12-26,653.0,72916.0,35691,2527.0
United Kingdom,2020-12-25,609.0,72263.0,32725,2183.0
United Kingdom,2020-12-24,582.0,71654.0,39877,2083.0
United Kingdom,2020-12-23,564.0,71072.0,39237,2270.0
United Kingdom,2020-12-22,563.0,70508.0,36804,2475.0
United Kingdom,2020-12-21,576.0,69945.0,33364,2368.0
United Kingdom,2020-12-20,503.0,69369.0,35928,2167.0
United Kingdom,2020-12-19,487.0,68866.0,27052,2043.0
United Kingdom,2020-12-18,515.0,68379.0,28507,1919.0
United Kingdom,2020-12-17,537.0,67864.0,35383,2143.0
United Kingdom,2020-12-16,434.0,67327.0,25161,2077.0
United Kingdom,2020-12-15,454.0,66893.0,18450,1953.0
United Kingdom,2020-12-14,479.0,66439.0,20263,1952.0
United Kingdom,2020-12-13,419.0,65960.0,18447,1754.0
United Kingdom,2020-12-12,436.0,65541.0,21502,1798.0
United Kingdom,2020-12-11,451.0,65105.0,21672,1686.0
United Kingdom,2020-12-10,445.0,64654.0,20964,1752.0
United Kingdom,2020-12-09,431.0,64209.0,16578,1754.0
United Kingdom,2020-12-08,434.0,63778.0,12282,1782.0
United Kingdom,2020-12-07,422.0,63344.0,14718,1658.0
United Kingdom,2020-12-06,418.0,62922.0,17272,1467.0
United Kingdom,2020-12-05,396.0,62504.0,15539,1378.0
United Kingdom,2020-12-04,472.0,62108.0,16298,1434.0
United Kingdom,2020-12-03,474.0,61636.0,14879,1502.0
United Kingdom,2020-12-02,386.0,61162.0,16170,1487.0
United Kingdom,2020-12-01,400.0,60776.0,13430,1488.0
United Kingdom,2020-11-30,423.0,60376.0,12330,1404.0
United Kingdom,2020-11-29,463.0,59953.0,12155,1381.0
United Kingdom,2020-11-28,467.0,59490.0,15871,1219.0
United Kingdom,2020-11-27,422.0,59023.0,16022,1280.0
United Kingdom,2020-11-26,433.0,58601.0,17555,1421.0
United Kingdom,2020-11-25,483.0,58168.0,18213,1614.0
United Kingdom,2020-11-24,459.0,57685.0,11299,1494.0
United Kingdom,2020-11-23,465.0,57226.0,15450,1587.0
United Kingdom,2020-11-22,476.0,56761.0,18662,1488.0
United Kingdom,2020-11-21,464.0,56285.0,19875,1460.0
United Kingdom,2020-11-20,452.0,55821.0,20252,1545.0
United Kingdom,2020-11-19,462.0,55369.0,22915,1683.0
United Kingdom,2020-11-18,486.0,54907.0,19609,1782.0
United Kingdom,2020-11-17,440.0,54421.0,20051,1715.0
United Kingdom,2020-11-16,423.0,53981.0,21363,1770.0
United Kingdom,2020-11-15,453.0,53558.0,24962,1669.0
United Kingdom,2020-11-14,430.0,53105.0,26860,1612.0
United Kingdom,2020-11-13,435.0,52675.0,27301,1647.0
United Kingdom,2020-11-12,421.0,52240.0,33470,1912.0
United Kingdom,2020-11-11,389.0,51819.0,22950,1972.0
